,path1,path2,lch,tree1,tree2,matriz,path_sim,LCh,wup,normalizada,levenstein
0,"{Synset('red.n.01'): 0, Synset('chromatic_color.n.01'): 1, Synset('color.n.01'): 2, Synset('visual_property.n.01'): 3, Synset('property.n.02'): 4, Synset('attribute.n.02'): 5, Synset('abstraction.n.06'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}","{Synset('blue.n.01'): 0, Synset('chromatic_color.n.01'): 1, Synset('color.n.01'): 2, Synset('visual_property.n.01'): 3, Synset('property.n.02'): 4, Synset('attribute.n.02'): 5, Synset('abstraction.n.06'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}",Synset('chromatic_color.n.01'),"[Synset('red.n.01'), Synset('chromatic_color.n.01')]","[Synset('blue.n.01'), Synset('chromatic_color.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.875,0.8888888888888888,1
1,"{Synset('man.n.01'): 0, Synset('adult.n.01'): 1, Synset('male.n.02'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('woman.n.01'): 0, Synset('adult.n.01'): 1, Synset('female.n.02'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}",Synset('adult.n.01'),"[Synset('man.n.01'), Synset('adult.n.01')]","[Synset('woman.n.01'), Synset('adult.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.6666666666666666,0.9166666666666666,1
2,"{Synset('dislike.n.02'): 0, Synset('feeling.n.01'): 1, Synset('state.n.02'): 2, Synset('attribute.n.02'): 3, Synset('abstraction.n.06'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('love.n.01'): 0, Synset('emotion.n.01'): 1, Synset('feeling.n.01'): 2, Synset('state.n.02'): 3, Synset('attribute.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('feeling.n.01'),"[Synset('dislike.n.02'), Synset('feeling.n.01')]","[Synset('love.n.01'), Synset('emotion.n.01'), Synset('feeling.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 2}}",0.25,2.2512917986064953,0.7692307692307693,0.75,2
3,"{Synset('dislike.n.02'): 0, Synset('feeling.n.01'): 1, Synset('state.n.02'): 2, Synset('attribute.n.02'): 3, Synset('abstraction.n.06'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('hate.n.01'): 0, Synset('emotion.n.01'): 1, Synset('feeling.n.01'): 2, Synset('state.n.02'): 3, Synset('attribute.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('feeling.n.01'),"[Synset('dislike.n.02'), Synset('feeling.n.01')]","[Synset('hate.n.01'), Synset('emotion.n.01'), Synset('feeling.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 2}}",0.25,2.2512917986064953,0.7692307692307693,0.75,2
4,"{Synset('love.n.01'): 0, Synset('emotion.n.01'): 1, Synset('feeling.n.01'): 2, Synset('state.n.02'): 3, Synset('attribute.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('hate.n.01'): 0, Synset('emotion.n.01'): 1, Synset('feeling.n.01'): 2, Synset('state.n.02'): 3, Synset('attribute.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('emotion.n.01'),"[Synset('love.n.01'), Synset('emotion.n.01')]","[Synset('hate.n.01'), Synset('emotion.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.8571428571428571,0.875,1
5,"{Synset('love_affair.n.01'): 0, Synset('relationship.n.02'): 1, Synset('state.n.02'): 2, Synset('attribute.n.02'): 3, Synset('abstraction.n.06'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('love.n.01'): 0, Synset('emotion.n.01'): 1, Synset('feeling.n.01'): 2, Synset('state.n.02'): 3, Synset('attribute.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('state.n.02'),"[Synset('love_affair.n.01'), Synset('relationship.n.02'), Synset('state.n.02')]","[Synset('love.n.01'), Synset('emotion.n.01'), Synset('feeling.n.01'), Synset('state.n.02')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 3}}",0.16666666666666666,1.845826690498331,0.6153846153846154,0.625,3
6,"{Synset('plastic.n.01'): 0, Synset('solid.n.01'): 1, Synset('matter.n.03'): 2, Synset('physical_entity.n.01'): 3, Synset('entity.n.01'): 4, Synset('*ROOT*'): 5}","{Synset('matter.n.03'): 0, Synset('physical_entity.n.01'): 1, Synset('entity.n.01'): 2, Synset('*ROOT*'): 3}",Synset('matter.n.03'),"[Synset('plastic.n.01'), Synset('solid.n.01'), Synset('matter.n.03')]",[Synset('matter.n.03')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 1}, 2: {0: 2, 1: 2}, 3: {0: 3, 1: 2}}",0.3333333333333333,2.538973871058276,0.75,0.6666666666666667,2
7,"{Synset('tea.n.01'): 0, Synset('beverage.n.01'): 1, Synset('food.n.01'): 2, Synset('liquid.n.01'): 2, Synset('substance.n.07'): 3, Synset('fluid.n.01'): 3, Synset('matter.n.03'): 4, Synset('substance.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('part.n.01'): 5, Synset('entity.n.01'): 6, Synset('relation.n.01'): 6, Synset('abstraction.n.06'): 7, Synset('*ROOT*'): 8}","{Synset('coffee.n.01'): 0, Synset('beverage.n.01'): 1, Synset('food.n.01'): 2, Synset('liquid.n.01'): 2, Synset('substance.n.07'): 3, Synset('fluid.n.01'): 3, Synset('matter.n.03'): 4, Synset('substance.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('part.n.01'): 5, Synset('entity.n.01'): 6, Synset('relation.n.01'): 6, Synset('abstraction.n.06'): 7, Synset('*ROOT*'): 8}",Synset('beverage.n.01'),"[Synset('tea.n.01'), Synset('beverage.n.01')]","[Synset('coffee.n.01'), Synset('beverage.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.8888888888888888,0.9285714285714286,1
8,"{Synset('lamb.n.05'): 0, Synset('meat.n.01'): 1, Synset('food.n.02'): 2, Synset('solid.n.01'): 3, Synset('matter.n.03'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('octopus.n.01'): 0, Synset('seafood.n.01'): 1, Synset('food.n.02'): 2, Synset('solid.n.01'): 3, Synset('matter.n.03'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('food.n.02'),"[Synset('lamb.n.05'), Synset('meat.n.01'), Synset('food.n.02')]","[Synset('octopus.n.01'), Synset('seafood.n.01'), Synset('food.n.02')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 3}, 3: {0: 3, 1: 3, 2: 3, 3: 2}}",0.2,2.0281482472922856,0.7142857142857143,0.75,2
9,"{Synset('octopus.n.01'): 0, Synset('seafood.n.01'): 1, Synset('food.n.02'): 2, Synset('solid.n.01'): 3, Synset('matter.n.03'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('fish.n.02'): 0, Synset('food.n.02'): 1, Synset('solid.n.01'): 2, Synset('matter.n.03'): 3, Synset('physical_entity.n.01'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}",Synset('food.n.02'),"[Synset('octopus.n.01'), Synset('seafood.n.01'), Synset('food.n.02')]","[Synset('fish.n.02'), Synset('food.n.02')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 2}, 3: {0: 3, 1: 3, 2: 2}}",0.25,2.2512917986064953,0.7692307692307693,0.75,2
